1706865367.390348 client started (33178): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1706865367.390387 on Darwin 23.2.0 Darwin Kernel Version 23.2.0: Wed Nov 15 21:53:34 PST 2023; root:xnu-10002.61.3~2/RELEASE_ARM64_T8103
1706865367.391054 using libevent 2.1.12-stable (select); utf8proc 2.9.0; ncurses 6.4
1706865367.394360 sending message 105 to peer 0x118008000 (22 bytes)
1706865367.394363 sending message 105 to peer 0x118008000 (42 bytes)
1706865367.394367 sending message 105 to peer 0x118008000 (17 bytes)
1706865367.394370 sending message 105 to peer 0x118008000 (37 bytes)
1706865367.394373 sending message 105 to peer 0x118008000 (30 bytes)
1706865367.394376 sending message 105 to peer 0x118008000 (34 bytes)
1706865367.394380 sending message 105 to peer 0x118008000 (60 bytes)
1706865367.394383 sending message 105 to peer 0x118008000 (19 bytes)
1706865367.394386 sending message 105 to peer 0x118008000 (37 bytes)
1706865367.394390 sending message 105 to peer 0x118008000 (8 bytes)
1706865367.394393 sending message 105 to peer 0x118008000 (13 bytes)
1706865367.394396 sending message 105 to peer 0x118008000 (32 bytes)
1706865367.394399 sending message 105 to peer 0x118008000 (96 bytes)
1706865367.394403 sending message 105 to peer 0x118008000 (430 bytes)
1706865367.394407 sending message 105 to peer 0x118008000 (51 bytes)
1706865367.394410 sending message 105 to peer 0x118008000 (16 bytes)
1706865367.394413 sending message 105 to peer 0x118008000 (25 bytes)
1706865367.394417 sending message 105 to peer 0x118008000 (60 bytes)
1706865367.394420 sending message 105 to peer 0x118008000 (19 bytes)
1706865367.394423 sending message 105 to peer 0x118008000 (11 bytes)
1706865367.394426 sending message 105 to peer 0x118008000 (3088 bytes)
1706865367.394436 sending message 105 to peer 0x118008000 (53 bytes)
1706865367.394440 sending message 105 to peer 0x118008000 (29 bytes)
1706865367.394443 sending message 105 to peer 0x118008000 (15 bytes)
1706865367.394447 sending message 105 to peer 0x118008000 (8 bytes)
1706865367.394450 sending message 105 to peer 0x118008000 (66 bytes)
1706865367.394453 sending message 105 to peer 0x118008000 (21 bytes)
1706865367.394457 sending message 105 to peer 0x118008000 (18 bytes)
1706865367.394460 sending message 105 to peer 0x118008000 (26 bytes)
1706865367.394463 sending message 105 to peer 0x118008000 (57 bytes)
1706865367.394467 sending message 105 to peer 0x118008000 (42 bytes)
1706865367.394470 sending message 105 to peer 0x118008000 (13 bytes)
1706865367.394473 sending message 105 to peer 0x118008000 (59 bytes)
1706865367.394476 sending message 105 to peer 0x118008000 (10 bytes)
1706865367.394480 sending message 105 to peer 0x118008000 (20 bytes)
1706865367.394483 sending message 105 to peer 0x118008000 (14 bytes)
1706865367.394486 sending message 105 to peer 0x118008000 (19 bytes)
1706865367.394489 sending message 105 to peer 0x118008000 (27 bytes)
1706865367.394493 sending message 105 to peer 0x118008000 (35 bytes)
1706865367.394496 sending message 105 to peer 0x118008000 (32 bytes)
1706865367.394499 sending message 105 to peer 0x118008000 (34 bytes)
1706865367.394503 sending message 105 to peer 0x118008000 (26 bytes)
1706865367.394506 sending message 105 to peer 0x118008000 (23 bytes)
1706865367.394509 sending message 105 to peer 0x118008000 (29 bytes)
1706865367.394512 sending message 105 to peer 0x118008000 (17 bytes)
1706865367.394516 sending message 105 to peer 0x118008000 (22 bytes)
1706865367.394519 sending message 105 to peer 0x118008000 (23 bytes)
1706865367.394522 sending message 105 to peer 0x118008000 (242 bytes)
1706865367.394526 sending message 105 to peer 0x118008000 (20 bytes)
1706865367.394529 sending message 105 to peer 0x118008000 (14 bytes)
1706865367.394532 sending message 105 to peer 0x118008000 (15 bytes)
1706865367.394536 sending message 105 to peer 0x118008000 (27 bytes)
1706865367.394539 sending message 105 to peer 0x118008000 (18 bytes)
1706865367.394542 sending message 105 to peer 0x118008000 (14 bytes)
1706865367.394546 sending message 105 to peer 0x118008000 (18 bytes)
1706865367.394549 sending message 105 to peer 0x118008000 (20 bytes)
1706865367.394552 sending message 105 to peer 0x118008000 (23 bytes)
1706865367.394555 sending message 105 to peer 0x118008000 (11 bytes)
1706865367.394559 sending message 105 to peer 0x118008000 (16 bytes)
1706865367.394562 sending message 105 to peer 0x118008000 (15 bytes)
1706865367.394565 sending message 105 to peer 0x118008000 (15 bytes)
1706865367.394569 sending message 105 to peer 0x118008000 (15 bytes)
1706865367.394572 sending message 105 to peer 0x118008000 (23 bytes)
1706865367.394575 sending message 105 to peer 0x118008000 (15 bytes)
1706865367.394578 sending message 105 to peer 0x118008000 (17 bytes)
1706865367.394582 sending message 105 to peer 0x118008000 (9 bytes)
1706865367.394585 sending message 105 to peer 0x118008000 (17 bytes)
1706865367.394588 sending message 105 to peer 0x118008000 (14 bytes)
1706865367.394591 sending message 105 to peer 0x118008000 (10 bytes)
1706865367.394595 sending message 105 to peer 0x118008000 (25 bytes)
1706865367.394598 sending message 106 to peer 0x118008000 (0 bytes)
1706865367.394640 sending message 200 to peer 0x118008000 (4 bytes)
1706865367.394645 client loop enter
1706865367.394802 peer 0x118008000 message 303
1706865367.394807 open write file 2 -
1706865367.394815 sending message 305 to peer 0x118008000 (8 bytes)
1706865367.394826 write check file 2
1706865367.394846 peer 0x118008000 message 304
1706865367.394850 write 58 to file 2
1706865367.394854 peer 0x118008000 message 203
1706865367.394858 file 2 58 bytes left
1706865367.394869 write check file 2
1706865367.394872 client loop exit
